url,date,title,details,time,org
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=274474@17.calendar.bu.edu,Kirtan Chant in Marsh Chapel,Join us to sing and play Hindu-style chants together accompanied by South Indian drum and harmonium as well as percussion. All are welcome!,"6:00 pm to 8:00 pm  on Saturday, November 12, 2022",Musicology and Ethnomusicology
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=272089@17.calendar.bu.edu,Boston University Composers: Past and Present,,"8:00 pm on Saturday, November 12, 2022",
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=271914@17.calendar.bu.edu,"SÄVË THË WHÄLËS, ETC. by David L. Caruso","Directed by Noah Putterman
With the climate apocalypse officially declared, two Americans go on a tour of the last glacier on Earth.
For the Canadian locals, the ice contains answers, a key to the future. For the tourists, it is a glimpse
back in time, before their world irrevocably changed. SÄVË THË WHÄLËS, ETC. is an environmental
comedy about the importance of community, home, and happiness during crisis.
A BU New Play Initiative production, produced by Boston Playwrights’ Theatre and the Boston University
College of Fine Arts School of Theatre.
Up-to-the-minute information regarding performance schedules, COVID-19 protocols, and ticketing can be
found on the BPT website (www.BostonPlaywrights.org) under Visit Us &gt; COVID-19 Safety. 

Recurring event: Thurs. 7:30 p.m., Fri. and Sat. 8 p.m., Sun. 2 p.m.","8:00 pm  – 10:00 pm  on every Friday &amp; Saturday until Monday, November 14, 2022",Boston Playwrights’ Theatre
2022-11-13,https://www.bu.edu/calendar/?day=2022-11-13&uid=260297@17.calendar.bu.edu,Spot On! Podcast:  The Latest Buzz About Caffeine,Americans run on caffeine as approximately 85% of us drink at least one caffeinated beverage very day.  We will discuss the latest on the benefits of caffeine in the diet.,12:00 am  every day,Health Scienes
2022-11-13,https://www.bu.edu/calendar/?day=2022-11-13&uid=264290@17.calendar.bu.edu,Spot On! Podcast:Is CBD a Help or Just Hype?,This week we talk with an expert about CBD.  Tune in to learn more about this fascinating topic.,All day  every day,Health Sciences
2022-11-13,https://www.bu.edu/calendar/?day=2022-11-13&uid=267261@17.calendar.bu.edu,SpotOn! Podcast: The Not So Sweet News About Added Sugars,"We are consuming approximately 17 teaspoons of added sugars daily.  A sugary diet can increase your risk of heart disease, obesity, and diabetes.  Find out why and how to curb your sweet tooth. On all podcast platforms.",12:00 am  every day,Health Sciences
2022-11-13,https://www.bu.edu/calendar/?day=2022-11-13&uid=260831@17.calendar.bu.edu,Spot On! Podcast:  What Is Intuitive Eating?,"Elyse Resch, RDN, co-author of the book, Intuitive Eating, share her expertise on this evidenced-based, mind-body health approach to eating.

Spot On! is available on Apple Podcast: https://podcasts.apple.com/us/podcast/spot-on/id1448760100
",12:00 am  every day,Health Sciences
2022-11-13,https://www.bu.edu/calendar/?day=2022-11-13&uid=274853@17.calendar.bu.edu,Spot On! Podcast:  What Really  is a Sustainable Diet?,Tune in to learn all about sustainable diets and the role of both plant and animal-sourced foods in environmentally conscious diets.,9:00 am  every day,Health Sciences
2022-11-13,https://www.bu.edu/calendar/?day=2022-11-13&uid=272998@17.calendar.bu.edu,Interdenominational Protestant Worship Service,"Sunday mornings at Marsh Chapel are interdenominational Protestant worship
services influenced by the University’s traditional Methodist roots. They are
broadcast year-round on WBUR 90.9 FM and streamed over the Internet at
wbur.org. A podcast is available from iTunes® and the Chapel website
(bu.edu/chapel). Communion is offered on the first Sunday of each month and on
Easter Sunday.",11:00 am  – 12:00 pm  on every Sunday,
2022-11-13,https://www.bu.edu/calendar/?day=2022-11-13&uid=271915@17.calendar.bu.edu,"SÄVË THË WHÄLËS, ETC. by David L. Caruso","Directed by Noah Putterman
With the climate apocalypse officially declared, two Americans go on a tour of the last glacier on Earth.
For the Canadian locals, the ice contains answers, a key to the future. For the tourists, it is a glimpse
back in time, before their world irrevocably changed. SÄVË THË WHÄLËS, ETC. is an environmental
comedy about the importance of community, home, and happiness during crisis.
A BU New Play Initiative production, produced by Boston Playwrights’ Theatre and the Boston University
College of Fine Arts School of Theatre.
Up-to-the-minute information regarding performance schedules, COVID-19 protocols, and ticketing can be
found on the BPT website (www.BostonPlaywrights.org) under Visit Us &gt; COVID-19 Safety. 

Recurring event: Thurs. 7:30 p.m., Fri. and Sat. 8 p.m., Sun. 2 p.m.","2:00 pm  on every Sunday until Monday, November 14, 2022",Boston Playwrights’ Theatre
2022-11-13,https://www.bu.edu/calendar/?day=2022-11-13&uid=274734@17.calendar.bu.edu,Juniors Escape to Level99,Campus Activities Board is hosting an event open to the class of 2024 at Level99 in Natick. We will be providing buses starting at 5pm at Marsh Chapel.,"6:00 pm to 9:00 pm  on Sunday, November 13, 2022",Campus Activities Board
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=269132@17.calendar.bu.edu,IEW,,"All day on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274581@17.calendar.bu.edu,Make a Difference Annual Donation Drive,"Please join your fellow GMS students, faculty and staff in giving back to our community through our donation drive for Cradles to Crayons - which provides essentials to children of all ages, from school supplies to clothing. How to participate: 1) Check out the list of Most Needed Items 2) Drop off or have your donation delivered directly to the GMS Suite, L-317All students who donate will have their names entered in a raffle to win one of 20 Chequers Cafe vouchers!","All day on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=267312@17.calendar.bu.edu,Last Day to Drop With a (W) Grade,,"All day on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=260297@17.calendar.bu.edu,Spot On! Podcast:  The Latest Buzz About Caffeine,Americans run on caffeine as approximately 85% of us drink at least one caffeinated beverage very day.  We will discuss the latest on the benefits of caffeine in the diet.,12:00 am  every day,Health Scienes
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=267261@17.calendar.bu.edu,SpotOn! Podcast: The Not So Sweet News About Added Sugars,"We are consuming approximately 17 teaspoons of added sugars daily.  A sugary diet can increase your risk of heart disease, obesity, and diabetes.  Find out why and how to curb your sweet tooth. On all podcast platforms.",12:00 am  every day,Health Sciences
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=260831@17.calendar.bu.edu,Spot On! Podcast:  What Is Intuitive Eating?,"Elyse Resch, RDN, co-author of the book, Intuitive Eating, share her expertise on this evidenced-based, mind-body health approach to eating.

Spot On! is available on Apple Podcast: https://podcasts.apple.com/us/podcast/spot-on/id1448760100
",12:00 am  every day,Health Sciences
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=264290@17.calendar.bu.edu,Spot On! Podcast:Is CBD a Help or Just Hype?,This week we talk with an expert about CBD.  Tune in to learn more about this fascinating topic.,All day  every day,Health Sciences
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274853@17.calendar.bu.edu,Spot On! Podcast:  What Really  is a Sustainable Diet?,Tune in to learn all about sustainable diets and the role of both plant and animal-sourced foods in environmentally conscious diets.,9:00 am  every day,Health Sciences
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274533@17.calendar.bu.edu,Flu Shot &amp; HPV Vaccine Clinics,"All BU students are welcome. Free for students with SHIP. Non-SHIP students will be charged for the cost of vaccines received and charges will be billed to the student account. Receipts will be emailed to students to submit to their insurance company for reimbursement. An appointment is required. Please book an appointment at https://patientconnect.bu.edu. Only flu and HPV shots will be offered, COVID-19 vaccines are not available at this clinic. HPV is a common STI that can lead to the development of cervical cancer. Due to COVID-19 guidelines, a face mask is required upon entry. Hosted by BU Student Health Services.","9:00 am  – 3:00 pm  every day until Friday, November 18, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274542@17.calendar.bu.edu,Flu Shot &amp; HPV Vaccine Clinics,"All BU students are welcome. Free for students with SHIP. Non-SHIP students will be charged for the cost of vaccines received and charges will be billed to the student account. Receipts will be emailed to students to submit to their insurance company for reimbursement. An appointment is required. Please book an appointment at https://patientconnect.bu.edu. Only flu and HPV shots will be offered. HPV is a common STI that can lead to the development of cervical cancer. Due to COVID-19 guidelines, a face mask is required upon entry. Hosted by BU Student Health Services.","9:00 am  – 3:00 pm  every day until Friday, November 18, 2022",Student Health Services
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274607@17.calendar.bu.edu,Resume &amp; Cover Letter Drop-Ins,"The CCD offers personalized feedback for resumes and cover letters with 15-minute sessions during drop-in hours, no appointments needed!","11:00 am to 2:00 pm  on Monday, November 14, 2022",BU Center for Career Development 
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=270150@17.calendar.bu.edu,Resume &amp; Cover Letter Drop-Ins,,"11:00 am to 2:00 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=272105@17.calendar.bu.edu,work-in-progress: Andrea Beltran Lizarazo,,"12:00 pm to 1:15 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=273004@17.calendar.bu.edu,Tai Chi (Advanced),"Marsh Room and via Zoom (register at bu.edu/chapel)
Tai chi is typically practiced today as a system of fluid, low-impact movements
for the benefit of health and wellness. Tai chi can be viewed as a form of active
meditation whereby the mind/body connection is developed and used to
coordinate movements through mental awareness. This type of practice has
been associated with a variety of benefits, including relief of stress, better
balance, and improvement in concentration, coordination, and circulation. In
this class, we will focus on the Wu style of tai chi, characterized by smaller,
more compact movements than other styles. (Contact: Sifu Mynor Diaz,
mynord@bu.edu)","12:00 pm  – 1:00 pm  on every Monday until Monday, December 19, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=272359@17.calendar.bu.edu,"LeaRRn Webinar: Julie Fritz, PT, PhD, FAPTA presents Pragmatic and Embedded Trials: Strategies for Generating Real World Evidence",Evidence-practice gaps are well-established in rehabilitation. Pragmatic and embedded clinical trials provide an opportunity to generate evidence within health care systems that may help overcome these gaps and improve patient outcomes.,"1:00 pm to 2:30 pm  on Monday, November 14, 2022",LeaRRn/SPH
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=270039@17.calendar.bu.edu,Rock Your Resume I: Formatting Basics,,"2:00 pm to 2:30 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274613@17.calendar.bu.edu,Rock Your Resume I: Formatting Basics,"In 30 minutes, you will learn techniques to market yourself effectively to your audience. You will be able to create targeted bullets to demonstrate your skills and experience.","2:00 pm to 2:30 pm  on Monday, November 14, 2022",BU Center for Career Development 
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274616@17.calendar.bu.edu,Rock Your Resume II: Tailoring to Your Audience,"In 30 minutes, you will learn how to connect your experiences with the duties of a job description to craft a great cover letter. In this session, we discuss the purpose of a cover letter, the three main components of a cover letter, and some professional tips.","2:30 pm to 3:00 pm  on Monday, November 14, 2022",BU Center for Career Development 
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=270041@17.calendar.bu.edu,Rock Your Resume II: Tailoring to Your Audience,,"2:30 pm to 3:00 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=270525@17.calendar.bu.edu,Managing Anxiety Group,"Do anxious thoughts and feelings dominate your daily experiences? Do you lie awake at night worrying about tasks you need to complete? Do you avoid social situations for fear of judgment? This skills-based group is designed for students who want to learn techniques, including cognitive-behavioral therapy strategies, to help reduce anxiety. Group members share their experiences, discuss assignments, and offer support to each other as they work toward making changes and learning to effectively manage their anxiety. Students are encouraged to practice these skills and apply them between group sessions. Registration required, see website for details. ","3:00 pm  – 4:00 pm  on every Monday &amp; Thursday until Monday, November 21, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=273541@17.calendar.bu.edu,Managing Anxiety,,"3:00 pm to 4:00 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274618@17.calendar.bu.edu,Crafting Your Cover Letter,"In 30 minutes, you will learn how to connect your experiences with the duties of a job description to craft a great cover letter. In this session, we discuss the purpose of a cover letter, the three main components of a cover letter, and some professional tips.","3:00 pm to 3:30 pm  on Monday, November 14, 2022",BU Center for Career Development 
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=270042@17.calendar.bu.edu,Crafting Your Cover Letter,,"3:00 pm to 3:30 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=272522@17.calendar.bu.edu,GRS Dissertation Defense of Alyssa Kreikemeier,"""AERIAL ENCLOSURES: FROM COMMONS TO CONFLICT IN THE AMERICAN WEST""","3:30 pm on Monday, November 14, 2022",Graduate School of Arts and Sciences
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274069@17.calendar.bu.edu,Distortion and Subversion: Punk Rock Music and the Protests for Free Public Transportation in Brazil (1996-2011),,"4:00 pm to 5:00 pm  on Monday, November 14, 2022",Initiative on Cities
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=270336@17.calendar.bu.edu,Black Students Support Group,"This group is a safe space for Black identifying students to speak openly, check-in with each other, and share their own experiences about how they are impacted by the events in their communities and the world. In addition, participants will learn skills to help them feel more empowered and confident in managing stressors, pursuing effective advocacy and participating in student leadership. Registration required, see website for details. ","4:00 pm  – 5:00 pm  on every Monday until Monday, December 12, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=273269@17.calendar.bu.edu,"Fully Human: Personhood, Citizenship, and Rights",,"4:00 pm to 5:30 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=273517@17.calendar.bu.edu,Black Students Support Group,,"4:00 pm to 5:00 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274227@17.calendar.bu.edu,Stress ReLeaf: Working with Tea for Calm &amp; Focus,"Bi-weekly workshop that will take a deep dive into tea and tea culture through alternative brewing demonstrations, tastings, journaling, and the many ways we can integrate “Cha Dao” - “The Way of Tea” - into our daily routines.","4:00 pm to 5:00 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=273467@17.calendar.bu.edu,Distortion and Subversion: Punk Rock Music and the Protests for Free Public Transportation in Brazil (1996-2011),"Join the Initiative on Cities for a presentation by Rodrigo Lopes de Barros, Assistant Professor of Spanish, Portuguese, and Latin American Studies. Prof. Lopes de Barros will discuss his forthcoming book, Distortion and Subversion: Punk Rock Music and the Protests for Free Public Transportation in Brazil (1996-2011). Co-sponsored by the Center for Latin American Studies.","4:00 pm to 5:00 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=271158@17.calendar.bu.edu,Let's Speak: Russian,"Whether you’re enrolled in language class, a member of Global House, or simply learning a language on your own, we welcome you to practice your conversational skills with us. ERC Language Link and BU Global House are now offering student-led conversation hours in a variety of languages. These sessions are open to all BU students and speakers of all levels. Sign up for a judgement-free conversation session, and Let’s Speak together today!","4:30 pm to 5:20 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274602@17.calendar.bu.edu,International Education Week Highlight,"In collaboration with BU Global Programs, our chefs have come up with menu items inspired from around the globe. Tonight, we are serving a dish of Indian origin, chicken korma with basmati rice and naan. We are also featuring a dish from South Korea, beef bibimbap. IEW is a joint initiative of the U.S. Department of State and the U.S. Department of Education to celebrate the benefits of international education and exchange. ","5:00 pm to 9:00 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274320@17.calendar.bu.edu,Money and Empire: Charles P. Kindleberger and the Dollar System,,"5:00 pm to 6:00 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=274179@17.calendar.bu.edu,Mindfulness Meditation,,"5:00 pm to 6:00 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=270528@17.calendar.bu.edu,Mindfulness Meditation Group,"This 4-week group, specifically designed for emerging adults, is based on the mindfulness program, “Koru,” loved by Duke University students. Practicing mindfulness helps reduce stress, increase mental and physical wellness, and improve your ability to make decisions guided by your inner wisdom. Group members are encouraged to share experiences, discuss assignments and offer support to each other as they learn to integrate and practice mindfulness skills in their lives. Registration required, see website for details. ","5:00 pm  – 6:00 pm  on every Monday until Monday, December 12, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=273002@17.calendar.bu.edu,Community Dinner,"One of the most important parts of our life together is the ministry of food.
Greet old friends, meet new faces, and break bread together at our weekly
Community Dinner. Open to all BU ID holders.","5:00 pm  – 6:30 pm  on every Monday until Monday, December 12, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=271064@17.calendar.bu.edu,Fall 2022 BUMC R.A.D. Self-Defense Training,"Resisting Aggression with Defense (R.A.D.) Basic Personal Defense System- Learn basic and realistic self-defense tactics and techniques- What to do when confronted with threats of violence and aggression. Must attend all classes in series to complete the course:Monday, October 24Monday, November 14Monday, November 22Monday, November 28Monday, December 56:00pm to 9:00pm in Hiebert Loungebit.ly/bumc-rad-fall2022","6:00 pm to 9:00 pm  on Monday, November 14, 2022",
2022-11-14,https://www.bu.edu/calendar/?day=2022-11-14&uid=273998@17.calendar.bu.edu,"Belonging in Chinatown, and Beyond: Community and Identity in Action","For many at BU, Chinatown is a weekend destination for dim sum or celebratory dinners out. But Chinatown is a complex community in the city of Boston, with its own residents, long history, and current social issues. How does “belonging” manifest itself in the Chinatown neighborhood? What is special about it as a community, and why?Join CAS WR 111 students—who this semester have studied the Hub unit of “the individual in community,” visited Chinatown, and explored the neighborhood’s vibrant art, culture, and history—as they host a panel representing Chinatown non-profits, residents, and other community stakeholders. The conversation may cover race and identity in Boston, post-pandemic economic recovery, issues of pollution and environmental justice, and art as a vehicle for cross-cultural and intergenerational connections. This event is part of BU’s 11th annual International Education Week.","7:00 pm to 8:30 pm  on Monday, November 14, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274582@17.calendar.bu.edu,Make a Difference Annual Donation Drive,"Please join your fellow GMS students, faculty and staff in giving back to our community through our donation drive for Cradles to Crayons - which provides essentials to children of all ages, from school supplies to clothing. How to participate: 1) Check out the list of Most Needed Items 2) Drop off or have your donation delivered directly to the GMS Suite, L-317 All students who donate will have their names entered in a raffle to win one of 20 Chequers Cafe vouchers!","All day on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274273@17.calendar.bu.edu,Dog Petting ,,"All day on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=267261@17.calendar.bu.edu,SpotOn! Podcast: The Not So Sweet News About Added Sugars,"We are consuming approximately 17 teaspoons of added sugars daily.  A sugary diet can increase your risk of heart disease, obesity, and diabetes.  Find out why and how to curb your sweet tooth. On all podcast platforms.",12:00 am  every day,Health Sciences
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=260297@17.calendar.bu.edu,Spot On! Podcast:  The Latest Buzz About Caffeine,Americans run on caffeine as approximately 85% of us drink at least one caffeinated beverage very day.  We will discuss the latest on the benefits of caffeine in the diet.,12:00 am  every day,Health Scienes
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=264290@17.calendar.bu.edu,Spot On! Podcast:Is CBD a Help or Just Hype?,This week we talk with an expert about CBD.  Tune in to learn more about this fascinating topic.,All day  every day,Health Sciences
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=260831@17.calendar.bu.edu,Spot On! Podcast:  What Is Intuitive Eating?,"Elyse Resch, RDN, co-author of the book, Intuitive Eating, share her expertise on this evidenced-based, mind-body health approach to eating.

Spot On! is available on Apple Podcast: https://podcasts.apple.com/us/podcast/spot-on/id1448760100
",12:00 am  every day,Health Sciences
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274533@17.calendar.bu.edu,Flu Shot &amp; HPV Vaccine Clinics,"All BU students are welcome. Free for students with SHIP. Non-SHIP students will be charged for the cost of vaccines received and charges will be billed to the student account. Receipts will be emailed to students to submit to their insurance company for reimbursement. An appointment is required. Please book an appointment at https://patientconnect.bu.edu. Only flu and HPV shots will be offered, COVID-19 vaccines are not available at this clinic. HPV is a common STI that can lead to the development of cervical cancer. Due to COVID-19 guidelines, a face mask is required upon entry. Hosted by BU Student Health Services.","9:00 am  – 3:00 pm  every day until Friday, November 18, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=273032@17.calendar.bu.edu,"COVID-19 Booster Clinic for Students, Staff &amp; Faculty","The Massachusetts Department of Public Health (MDPH) will be hosting a one-day COVID-19 bivalent booster clinic at Boston University. Open and free to all BU students, staff, and faculty. Due to COVID-19 guidelines, a face mask is required upon entry. 

Please register for the MDPH COVID-19 bivalent booster clinic through the MDPH website: https://home.color.com/vaccine/register/transformativehealth?calendar=ab3d8378-5af6-48cd-a37f-4b8c9bc3a09d
 
Please note: While this clinic is hosted at Boston University, all questions should be directed to MDPH: https://www.mass.gov/info-details/covid-19-mobile-vaccination-program","9:00 am to 3:00 pm  on Tuesday, November 15, 2022",
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274542@17.calendar.bu.edu,Flu Shot &amp; HPV Vaccine Clinics,"All BU students are welcome. Free for students with SHIP. Non-SHIP students will be charged for the cost of vaccines received and charges will be billed to the student account. Receipts will be emailed to students to submit to their insurance company for reimbursement. An appointment is required. Please book an appointment at https://patientconnect.bu.edu. Only flu and HPV shots will be offered. HPV is a common STI that can lead to the development of cervical cancer. Due to COVID-19 guidelines, a face mask is required upon entry. Hosted by BU Student Health Services.","9:00 am  – 3:00 pm  every day until Friday, November 18, 2022",Student Health Services
2022-11-15,https://www.bu.edu/calendar/?day=2022-11-15&uid=274853@17.calendar.bu.edu,Spot On! Podcast:  What Really  is a Sustainable Diet?,Tune in to learn all about sustainable diets and the role of both plant and animal-sourced foods in environmentally conscious diets.,9:00 am  every day,Health Sciences
